hotel_id,city_id,scores
11530983,27561,NA
28219,27561,7.910890024
84187,27561,0
84201,27561,9.720442321
84265,27561,9.321388216
84291,27561,9.454980595
6750493,27561,2.569998672
32233,27561,9.448985058
79479,27561,3.325154993
84169,27561,10
84209,27561,7.951696937
84253,27561,9.989486694
84581,27561,9.858572945
164779,27561,3.16951086
4508675,27561,9.062603055
211627,27561,9.946864401
84177,27561,9.949024505
84203,27561,9.463854895
84219,27561,9.995801945
84273,27561,NA
84347,27561,9.435770033
84551,27561,5.436827554
30919,27561,8.348913025
32493,27561,1.395373512
84167,27561,9.604969307
84331,27561,4.987781403
84553,27561,9.800781022
84555,27561,5.296689672
195853,27561,9.117768555
201225,27561,9.703426949
211831,27561,9.48315574
213183,27561,9.286657885
201215,27561,9.422665299
2147687,27561,9.991270552
6777649,27561,9.436071994
2978253,27561,3.920837712
260549,27561,9.88075352
303625,27561,9.763917968
1791117,27561,9.743803355
1849309,27561,9.288105142
7001639,27561,7.569452575
31959,27561,9.775544222
84193,27561,8.109639924
84259,27561,9.762812774
7052691,27561,9.952997516
4328919,27561,6.709078642
3435317,27561,9.090133293
3435425,27561,9.473444982
3525457,27561,7.184587876
9783619,27561,9.727674009
7166887,27561,0.88961016
5239575,27561,4.387893675
8165919,27561,9.633603956
8691411,27561,0.949709493
8360331,27561,4.273306275
1843825,27561,3.260089699
6734985,27561,3.743149101
84297,27561,9.221594652
84455,27561,9.854911026
84457,27561,6.193352656
164769,27561,8.707401045
6308791,27561,5.371171136
201287,27561,9.40931685
84189,27561,4.753840011
84587,27561,9.421360987
164747,27561,9.886859675
4902967,27561,9.702806732
10237483,27561,8.401660608
1842629,27561,9.642792484
2723729,27561,9.840868637
9822375,27561,9.630772249
2454139,27561,6.806850312
3226469,27561,6.18611159
294513,27561,9.693071368
8682307,27561,8.489591887
4310035,27561,9.064365871
275407,27561,8.861196989
11939439,27561,0.755573667
8586531,27561,0.747006667
4599131,27561,9.524348442
5740103,27561,0.784574058
3921633,27561,9.00762982
3186789,27561,9.225989634
4860307,27561,4.071036762
10376515,27561,6.531038035
211405,27561,NA
2615947,27561,9.513682401
4349495,27561,9.234479432
84181,27561,9.649415798
84275,27561,6.50179944
84365,27561,9.333668155
84625,27561,9.96428324
7671223,27561,4.020303735
16871687,27561,9.916607598
428321,27561,6.538030877
8347043,27561,4.18979935
5411823,27561,0.769087907
5441033,27561,9.469149499
2656657,27561,9.490126534
5049035,27561,NA
11511119,31497,8.433704267
11938295,31497,9.920649755
33175,31497,9.304222993
108325,31497,8.689034982
6088555,31497,7.173782131
108243,31497,8.624929258
108661,31497,1.667903846
2073951,31497,7.16828549
4759671,31497,9.964056494
5106419,31497,6.422624708
33267,31497,9.446501991
33271,31497,9.895898997
108281,31497,9.978172339
108369,31497,8.896799812
108263,31497,9.196339353
475271,31497,8.189381523
793951,31497,0.611756502
6278979,31497,9.159967394
198849,31497,6.077329378
198811,31497,9.952447705
198815,31497,8.524970973
198817,31497,NA
198835,31497,8.935123704
198843,31497,NA
198863,31497,NA
2333371,31497,6.869197392
4555919,31497,9.018997433
